Cliente,movil,responsable,direccion,cp,poblacion,provincia,n_socios,horario,Proxima visita ,email,tel_centro
MUSEROS JUBILADOS,,,,,,,,,,,
MUTRIKO,943603083,,,,,,,,,,
NAQUERA,,,,,,,,,,,
NOU BENICALAP,962083611,,,,,,,,,,
NOVAEDAD PICAÑA,961 592 650,,,,,,,,,,
NULES,,,,,,,,,,,
OLIVERETA,,,,,,,,,,,
Olleria jubilados,635 48 88 90,Jose Ramon,,,,,,,,,
ONDA A/C,,,,,,,,,,,
ONDA JUBILADOS,,,,,,,,,,,
OROPESA,,,,,,,,,,,
PATRAIX,,,,,,,,,,,
PICASSENT,665 929 542/961 23 51 46,Paqui,,,,,,,,,
Puig Amas de casa,647 504 197,Ana,,,,,,,,,
PUIG JUBILADOS,675152634,,,,,,,,,,
PUZOL,656 199 424,Juan,,,,,,,,,
QUART DE POBLET A/C,,,,,,,,,,,
QUART DE POBLET JUB.,,,,,,,,,,,
QUATRETONDA JUBILADOS,,,,,,,,,,,
ROCAFORT,,,,,,,,,,,
SAGUNTO,,,,,,,,,,,
SAN ISIDRO BENAGEBER JUB.,687676390,,,,,,,,,,
SANT JOAN DE MORO,,,,,,,,,,,
SEGORBE JUBILADOS,,,,,,,,,,,
SEQUIOL,,,,,,,,,,,
Siete Aguas jub.,,ASC DE JUB LA GOTA (7AGUAS),,,,,,,,,
SILLA JUBILADOS,961 210 500,,,,,,,,,,
SOLLANA,628448717,,,,,,,,,,
SUECA JUBILADOS,961702900,,,,,,,,,,
TORRENTE Amas de casa,,,,,,,,,,,
TORRENTE JUBILADOS,,,,,,,,,,,
Turis Jubilados,680 421 192,Puri,,,,,,,,,
VALL D´UXO,,,,,,,,,,,
VENTA DEL MORO,,,,,,,,,,,
Vicur,676 992 491,Jose Perales,,,,,,,,vicuralmassora@hotmail.com,
Villalonga jubilados,653 650 069,Tere,,,,,,,,pensionistesvillalonga@gmail.com,
VILLAR DEL ARZOBISPO JUBI.,,,,,,,,,,,
Viveros Jub.,609 606 544,Manolo,,,,,,,,,
XERACO Amas de casa,619040023,,,,,,,,,,
XERACO JUBILADOS,,,,,,,,,,,
XIRIVELLA JUBILADOS,630516686,,,,,,,,,,
Carcaixent Jubilados ,637 768 264,Antonio,Pza España s/n,46740,Carcaixent,Valencia,,,,,962 46 71 40
,,,,,,,,,"16/12/2025, 0:00:00",,
